2022.06.13 08:10:08,/list
2022.06.13 08:10:08,Выведено 3 строк базы данных
2022.06.13 08:10:14,/add
2022.06.13 08:10:20,Добавление данных:
2022.06.13 08:10:20,Title = uyi; Note = uyi; Status = yut
2022.06.13 08:10:25,/list
2022.06.13 08:10:25,Выведено 4 строк базы данных
2022.06.13 08:13:55,/exit
2022.06.13 08:15:37,/list
2022.06.13 08:15:37,Выведено 4 строк базы данных
2022.06.13 08:15:42,/add
2022.06.13 08:15:46,Добавление данных, Title = uytu; Note = jkhl; Status = uyt
2022.06.13 08:15:50,/list
2022.06.13 08:15:50,Выведено 5 строк базы данных
2022.06.13 08:15:55,/del
2022.06.13 08:15:58,3
2022.06.13 08:16:03,/list
2022.06.13 08:16:03,Выведено 4 строк базы данных
2022.06.13 08:17:28,/exit
2022.06.13 08:17:34,Выведено 4 строк базы данных
2022.06.13 08:17:56,Добавление данных, Title = ew; Note = we; Status = we
2022.06.13 08:18:13,3
2022.06.13 08:21:34,Выведено 4 строк базы данных
2022.06.13 08:21:45,Добавление данных, Title = iuoiy, Note = hgkjhg, Status = u7tiuy
2022.06.13 08:21:47,Выведено 5 строк базы данных
2022.06.13 08:22:13,Удалена запись 3
2022.06.13 08:22:20,Удалена запись 4
